file_id,cell_line
1,MCF7
2,RT4
3,U-2 OS
4,RT4
5,A549
6,HEK 293
7,RT4
8,RT4
9,MCF7
10,CACO-2
11,CACO-2
12,HEK 293
13,HEK 293
14,A549
15,CACO-2
16,A549
17,RT4
18,CACO-2
19,CACO-2
20,RT4
21,CACO-2
22,MCF7
23,CACO-2
24,RT4
25,RT4
26,HEK 293
27,PC-3
28,HeLa
29,HEK 293
30,MCF7
31,HEK 293
32,U-2 OS
33,HEK 293
34,PC-3
35,RT4
36,MCF7
37,HeLa
38,RT4
39,RT4
40,CACO-2
41,CACO-2
42,MCF7
43,U-2 OS
44,RT4
45,RT4
46,HEK 293
47,HEK 293
48,MCF7
49,MCF7
50,RT4
51,PC-3
52,PC-3
53,HeLa
54,RT4
55,PC-3
56,MCF7
57,HeLa
58,MCF7
59,RT4
60,A549
61,PC-3
62,MCF7
63,HEK 293
64,HEK 293
65,HEK 293
66,RT4
67,MCF7
68,RT4
69,RT4
70,HeLa
71,HEK 293
72,MCF7
73,HEK 293
74,U-2 OS
75,RT4
76,CACO-2
77,PC-3
78,MCF7
79,RT4
80,CACO-2
81,MCF7
82,CACO-2
83,CACO-2
84,U-2 OS
85,RT4
86,PC-3
87,U-2 OS
88,MCF7
89,RT4
90,U-251 MG
91,HeLa
92,RT4
93,PC-3
94,RT4
95,CACO-2
96,A549
97,HEK 293
98,CACO-2
99,A549
100,HEK 293
101,U-251 MG
102,CACO-2
103,A549
104,MCF7
105,MCF7
106,HEK 293
107,A549
108,CACO-2
109,PC-3
110,CACO-2
111,RT4
112,HEK 293
113,CACO-2
114,CACO-2
115,A549
116,HEK 293
117,CACO-2
118,HeLa
119,U-2 OS
120,U-251 MG
121,U-251 MG
122,U-251 MG
123,PC-3
124,A549
125,MCF7
126,RT4
127,U-251 MG
128,MCF7
129,RT4
130,RT4
131,U-251 MG
132,PC-3
133,U-2 OS
134,RT4
135,RT4
136,RT4
137,CACO-2
138,HEK 293
139,RT4
140,RT4
141,RT4
142,MCF7
143,RT4
144,A549
145,MCF7
146,CACO-2
147,HeLa
148,HeLa
149,U-251 MG
150,HeLa
151,U-251 MG
152,MCF7
153,HEK 293
154,CACO-2
155,MCF7
156,U-251 MG
157,CACO-2
158,A549
159,MCF7
160,CACO-2
161,U-2 OS
162,CACO-2
163,PC-3
164,RT4
165,RT4
166,CACO-2
167,U-251 MG
168,CACO-2
169,CACO-2
170,A549
171,A549
172,RT4
173,HEK 293
174,U-2 OS
175,HeLa
176,A549
177,HeLa
178,RT4
179,RT4
180,CACO-2
181,RT4
182,CACO-2
183,PC-3
184,RT4
185,CACO-2
186,RT4
187,CACO-2
188,CACO-2
189,HEK 293
190,A549
191,HEK 293
192,RT4
193,PC-3
194,CACO-2
195,U-2 OS
196,CACO-2
197,PC-3
198,A549
199,CACO-2
200,CACO-2
201,PC-3
202,MCF7
203,RT4
204,HeLa
205,RT4
206,RT4
207,U-251 MG
208,MCF7
209,CACO-2
210,A549
211,U-251 MG
212,HeLa
213,U-251 MG
214,HEK 293
215,HEK 293
216,RT4
217,HEK 293
218,A549
219,MCF7
220,A549
221,HEK 293
222,MCF7
223,CACO-2
224,U-2 OS
225,CACO-2
226,HEK 293
227,U-251 MG
228,PC-3
229,RT4
230,U-2 OS
231,MCF7
232,U-251 MG
233,CACO-2
234,CACO-2
235,CACO-2
236,HEK 293
237,U-2 OS
238,MCF7
239,U-2 OS
240,CACO-2
241,RT4
242,MCF7
243,PC-3
244,HEK 293
245,HEK 293
